B04, Trade, 4319301.293, 112, B04, S06, 1
B04, Trade, 4319308.493, 118, B04, S06, 1
B04, Trade, 4319312.393, 107, B04, S09, 1
B04, Trade, 4319317.393, 116, B04, S06, 1
B04, Trade, 4319318.243, 96, B04, S07, 1
B04, Trade, 4319331.193, 83, B04, S01, 1
B04, Trade, 4319341.093, 88, B04, S00, 1
B04, Trade, 4319345.493, 67, S06, B04, 1
B04, Trade, 4319357.143, 121, B04, S02, 1
B04, Trade, 4319363.043, 88, B04, S07, 1
B04, Trade, 4319365.193, 104, B04, S02, 1
B04, Trade, 4319370.193, 111, B04, S06, 1
B04, Trade, 4319380.243, 66, S09, B04, 1
B04, Trade, 4319389.443, 107, B04, S01, 1
B04, Trade, 4319392.193, 76, S04, B04, 1
B04, Trade, 4319399.543, 76, B04, S06, 1
B04, Trade, 4319408.143, 87, B04, S07, 1
B04, Trade, 4319410.243, 117, B04, S09, 1
B04, Trade, 4319413.543, 89, B04, S04, 1
B04, Trade, 4319427.043, 86, B04, S09, 1
B04, Trade, 4319435.493, 80, B04, S07, 1
B04, Trade, 4319442.843, 121, B04, S07, 1
B04, Trade, 4319449.793, 98, B04, S00, 1
B04, Trade, 4319454.993, 111, B04, S04, 1
B04, Trade, 4319463.393, 80, B04, S02, 1
B04, Trade, 4319470.493, 68, B04, S00, 1
B04, Trade, 4319484.693, 97, B04, S01, 1
B04, Trade, 4319492.243, 98, B04, S02, 1
B04, Trade, 4319503.643, 123, B04, S03, 1
B04, Trade, 4319509.643, 96, B04, S07, 1
B04, Trade, 4319514.493, 91, B04, S06, 1
B04, Trade, 4319522.093, 83, B04, S06, 1
B04, Trade, 4319527.393, 84, B04, S00, 1
B04, Trade, 4319537.493, 127, B04, S04, 1
B04, Trade, 4319543.543, 73, B04, S06, 1
B04, Trade, 4319551.143, 82, B04, S00, 1
B04, Trade, 4319563.493, 61, B04, S01, 1
B04, Trade, 4319580.593, 91, B04, S01, 1
B04, Trade, 4319589.893, 99, B04, S03, 1
B04, Trade, 4319594.793, 78, B04, S01, 1
B04, Trade, 4319599.943, 111, B04, S02, 1
B04, Trade, 4319602.193, 105, B04, S04, 1
B04, Trade, 4319608.493, 94, B04, S06, 1
B04, Trade, 4319617.243, 86, B04, S06, 1
B04, Trade, 4319618.143, 87, B04, S00, 1
B04, Trade, 4319621.593, 98, B04, S04, 1
B04, Trade, 4319623.943, 89, B04, S07, 1
B04, Trade, 4319634.393, 75, B04, S00, 1
B04, Trade, 4319638.543, 95, B04, S09, 1
B04, Trade, 4319657.143, 88, B04, S00, 1
B04, Trade, 4319661.943, 118, B04, S06, 1
B04, Trade, 4319666.143, 72, S02, B04, 1
B04, Trade, 4319669.343, 86, B04, S05, 1
B04, Trade, 4319672.543, 104, B04, S01, 1
B04, Trade, 4319681.343, 93, B04, S01, 1
B04, Trade, 4319685.993, 69, B04, S07, 1
B04, Trade, 4319691.893, 96, B04, S07, 1
B04, Trade, 4319694.693, 114, B04, S08, 1
B04, Trade, 4319701.943, 109, B04, S02, 1
B04, Trade, 4319721.593, 65, B04, S00, 1
B04, Trade, 4319725.193, 87, B04, S02, 1
B04, Trade, 4319732.193, 111, B04, S01, 1
B04, Trade, 4319740.743, 83, B04, S07, 1
B04, Trade, 4319748.193, 108, B04, S08, 1
B04, Trade, 4319755.443, 128, B04, S01, 1
B04, Trade, 4319761.793, 115, B04, S05, 1
B04, Trade, 4319767.493, 107, B04, S00, 1
B04, Trade, 4319770.043, 119, B04, S04, 1
B04, Trade, 4319779.093, 68, B04, S07, 1
B04, Trade, 4319794.093, 71, B04, S07, 1
B04, Trade, 4319799.193, 74, B04, S03, 1
B04, Trade, 4319806.743, 68, B04, S09, 1
B04, Trade, 4319809.393, 72, B04, S06, 1
B04, Trade, 4319814.993, 110, B04, S07, 1
B04, Trade, 4319819.093, 69, S09, B04, 1
B04, Trade, 4319830.593, 72, B04, S07, 1
B04, Trade, 4319839.743, 60, S01, B04, 1
B04, Trade, 4319852.043, 68, S05, B04, 1
B04, Trade, 4319858.643, 70, B04, S09, 1
B04, Trade, 4319871.093, 91, B04, S07, 1
B04, Trade, 4319876.843, 94, B04, S09, 1
B04, Trade, 4319881.443, 76, B04, S09, 1
B04, Trade, 4319891.193, 120, B04, S07, 1
B04, Trade, 4319893.043, 88, B04, S09, 1
B04, Trade, 4319900.493, 94, B04, S02, 1
B04, Trade, 4319915.643, 102, B04, S02, 1
B04, Trade, 4319922.243, 100, B04, S04, 1
B04, Trade, 4319925.193, 88, B04, S00, 1
B04, Trade, 4319932.843, 60, S06, B04, 1
B04, Trade, 4319938.593, 113, B04, S09, 1
B04, Trade, 4319940.993, 87, B04, S05, 1
B04, Trade, 4319952.143, 93, B04, S01, 1
B04, Trade, 4319959.043, 93, B04, S05, 1
B04, Trade, 4319965.493, 103, B04, S08, 1
B04, Trade, 4319970.793, 74, B04, S08, 1
B04, Trade, 4319980.893, 118, B04, S06, 1
B04, Trade, 4319986.393, 76, B04, S07, 1
B04, Trade, 4319992.743, 109, B04, S04, 1
B04, Trade, 4319994.743, 97, B04, S07, 1
B05, 100
B05, Trade, 4319278.693, 61, S06, B05, 1
B05, Trade, 4319287.693, 84, B05, S09, 1
B05, Trade, 4319296.843, 61, S07, B05, 1
B05, Trade, 4319301.493, 111, B05, S03, 1
B05, Trade, 4319315.393, 110, B05, S04, 1
B05, Trade, 4319319.293, 62, B05, S01, 1
B05, Trade, 4319323.793, 117, B05, S04, 1
B05, Trade, 4319326.743, 72, B05, S07, 1
B05, Trade, 4319330.793, 92, B05, S03, 1
B05, Trade, 4319336.293, 68, S03, B05, 1
B05, Trade, 4319342.243, 117, B05, S01, 1
B05, Trade, 4319350.893, 130, B05, S01, 1
B05, Trade, 4319354.143, 102, B05, S06, 1
B05, Trade, 4319365.543, 112, B05, S06, 1
B05, Trade, 4319371.443, 117, S04, B05, 1
B05, Trade, 4319377.893, 61, S07, B05, 1
B05, Trade, 4319387.543, 103, S08, B05, 1
B05, Trade, 4319392.593, 66, B05, S07, 1
B05, Trade, 4319394.893, 121, B05, S00, 1
B05, Trade, 4319407.543, 92, B05, S05, 1
B05, Trade, 4319424.843, 76, S09, B05, 1
B05, Trade, 4319427.343, 121, B05, S02, 1
B05, Trade, 4319431.193, 63, S07, B05, 1
B05, Trade, 4319440.093, 117, B05, S09, 1
B05, Trade, 4319450.943, 90, B05, S09, 1
B05, Trade, 4319452.993, 74, S08, B05, 1
B05, Trade, 4319466.943, 99, B05, S06, 1
B05, Trade, 4319469.243, 122, B05, S09, 1
B05, Trade, 4319477.243, 60, S00, B05, 1
B05, Trade, 4319482.793, 120, B05, S09, 1
B05, Trade, 4319492.643, 71, B05, S07, 1
B05, Trade, 4319495.643, 122, B05, S06, 1
B05, Trade, 4319519.093, 83, B05, S06, 1
B05, Trade, 4319521.293, 79, B05, S02, 1
B05, Trade, 4319524.543, 87, B05, S07, 1
B05, Trade, 4319531.293, 87, B05, S02, 1
B05, Trade, 4319536.143, 84, B05, S02, 1
